title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date,is_premium,premium_type,premium_indicators,bathrooms,balcony,property_type,furnishing,floor_details,locality,society,status,facing,parking,ownership,transaction,overlooking,data_quality_score,validation_issues,is_valid,amenities,description,builder_name,location_address,specifications
3 BHK Apartment for Sale in Sector 49 Gurgaon,4.12 Cr,1993 sqft,https://www.magicbricks.com/godrej-aristocrat-sector-49-gurgaon-pdpid-4d4235343138383333,1,11,2025-08-12 22:43:12.535713,Updated today,2025-08-12 12:00:00.000000,False,standard,[],3,1.0,3 BHK,Furnished,23 out of 32,,Godrej Aristocrat,,,,,Resale,,77.3,[],True,,"About Godrej AristocratWelcome to the Grand Luxury, Reserved for You! Keeping up with its legacy, Godrej Properties has now arrived at Sector 49, near Golf Course Extension Road, with an ultra-luxurious development. It unravels an expansive world brimming with opulence, whose unmatched beauty, serene charm and grandness is reserved only for you.Godrej Aristocrat PriceRs. 3. 34 Cr - 8. 16 CrProject TypeResidentialProperty TypesFlatGodrej Aristocrat StatusUnder ConstructionGodrej Aristocrat Launch Date01 December 2023Godrej Aristocrat Possession Date01 December 2030Towers in Godrej Aristocrat36Positioned at well connected locality Sector 49, Godrej Aristocrat is an aesthetically built project of Gurgaon. Spanning across 10 Acre, the project is well-spaced out. The entire project consists of over 865 residential units.Flat are the kind of units available in this project. Godrej Aristocrat's commencement certificate has been granted. The well-known builder Godrej Properties has developed Godrej Aristocrat project. The complete address of the site is Sector 49, Golf Course Extension Road, Gurgaon. The project's pin code is 122018. Godrej Aristocrat is where fine living meets seamless connectivity to provide you comfort living.Top Amenities in Godrej AristocratPrivate Terrace/GardenHigh CeilingHealth club with Steam / JaccuziLarge Open spaceLarge ClubhouseMultipurpose HallLiftGodrej Aristocrat Floor PlanUnit ConfigurationUnit SizeGodrej Aristocrat 3 BHK Flat967. 0 Sq. Ft. - 1408. 0 Sq. Ft.Godrej Aristocrat 4 BHK Flat1468. 0 Sq. Ft. - 1751. 0 Sq. Ft.The floor plan is a useful document that gives a realistic idea of the space covered, room sizes and the layout of the house. The units in Godrej Aristocrat come in a choice of 7 types of floor plans as per the 2 configurations. Bathrooms with contemporary fittings and balconies that allow for easy ventilation are part of the configurations. Magicbricks presents to you a range of layouts across different units of Godrej Aristocrat.Godrej Aristocrat BrochureGet a comprehensive and detailed overview of Godrej Aristocrat by downloading their PDF BrochureThe 'Download Brochure' link can be seen at the top right side of the page and can easily be downloaded from here. To view the Godrej Aristocrat brochure PDF, fill in your details like name, contact number, and email ID.Godrej Aristocrat AddressThe exact address for Godrej Aristocrat which is in Gurgaon is Sector 49, Golf Course Extension Road, Gurgaon, 122018.",Godrej Properties35YearsExperience,"Sector 49,Gurgaon",{}
2 BHK Apartment for Sale in Sector 70 Gurgaon,1.95 Cr,1250 sqft,,1,12,2025-08-12 22:43:12.538769,Updated today,2025-08-12 12:00:00.000000,False,standard,[],2,,2 BHK,Semi-Furnished,4 out of 10,,,Ready to Move,,,,Resale,,68.2,['Missing property URL'],False,,,,,
3 BHK Apartment for Sale in Sector 49 Gurgaon,4.80 Cr,2238 sqft,https://www.magicbricks.com/godrej-aristocrat-sector-49-gurgaon-pdpid-4d4235343138383333,1,13,2025-08-12 22:43:12.540689,Updated today,2025-08-12 12:00:00.000000,True,premium,"['text_premium', 'text_luxury']",3,4.0,3 BHK,Unfurnished,9 out of 30,,Godrej Aristocrat,,East,2 Covered,Freehold,Resale,Garden/Park,104.5,[],True,,"About Godrej AristocratWelcome to the Grand Luxury, Reserved for You! Keeping up with its legacy, Godrej Properties has now arrived at Sector 49, near Golf Course Extension Road, with an ultra-luxurious development. It unravels an expansive world brimming with opulence, whose unmatched beauty, serene charm and grandness is reserved only for you.Godrej Aristocrat PriceRs. 3. 34 Cr - 8. 16 CrProject TypeResidentialProperty TypesFlatGodrej Aristocrat StatusUnder ConstructionGodrej Aristocrat Launch Date01 December 2023Godrej Aristocrat Possession Date01 December 2030Towers in Godrej Aristocrat36Positioned at well connected locality Sector 49, Godrej Aristocrat is an aesthetically built project of Gurgaon. Spanning across 10 Acre, the project is well-spaced out. The entire project consists of over 865 residential units.Flat are the kind of units available in this project. Godrej Aristocrat's commencement certificate has been granted. The well-known builder Godrej Properties has developed Godrej Aristocrat project. The complete address of the site is Sector 49, Golf Course Extension Road, Gurgaon. The project's pin code is 122018. Godrej Aristocrat is where fine living meets seamless connectivity to provide you comfort living.Top Amenities in Godrej AristocratPrivate Terrace/GardenHigh CeilingHealth club with Steam / JaccuziLarge Open spaceLarge ClubhouseMultipurpose HallLiftGodrej Aristocrat Floor PlanUnit ConfigurationUnit SizeGodrej Aristocrat 3 BHK Flat967. 0 Sq. Ft. - 1408. 0 Sq. Ft.Godrej Aristocrat 4 BHK Flat1468. 0 Sq. Ft. - 1751. 0 Sq. Ft.The floor plan is a useful document that gives a realistic idea of the space covered, room sizes and the layout of the house. The units in Godrej Aristocrat come in a choice of 7 types of floor plans as per the 2 configurations. Bathrooms with contemporary fittings and balconies that allow for easy ventilation are part of the configurations. Magicbricks presents to you a range of layouts across different units of Godrej Aristocrat.Godrej Aristocrat BrochureGet a comprehensive and detailed overview of Godrej Aristocrat by downloading their PDF BrochureThe 'Download Brochure' link can be seen at the top right side of the page and can easily be downloaded from here. To view the Godrej Aristocrat brochure PDF, fill in your details like name, contact number, and email ID.Godrej Aristocrat AddressThe exact address for Godrej Aristocrat which is in Gurgaon is Sector 49, Golf Course Extension Road, Gurgaon, 122018.",Godrej Properties35YearsExperience,"Sector 49,Gurgaon",{}
3 BHK Penthouse for Sale in South City 1 Gurgaon,7 Cr,2300 sqft,https://www.magicbricks.com/the-retreat-south-city-1-gurgaon-pdpid-4d4235303837333734,1,14,2025-08-12 22:43:12.542575,Updated today,2025-08-12 12:00:00.000000,True,premium,"['text_premium', 'text_luxury']",4,2.0,3 BHK,Unfurnished,11 out of 11,,The Retreat,Ready to Move,North - East,1 Open,Freehold,Resale,"Garden/Park, Main Road",109.1,[],True,,"About The RetreatThe Retreat is one of the popular residential project in South City 1, Gurgaon. It has lavish yet thoughtfully designed 3 Towers and 175 residences.The Retreat StatusReady To MoveThe Retreat Launch Date01 May 2005The Retreat Possession Date01 August 2009Towers in The Retreat3The magnificent The Retreat that is smartly located in South City 1, Gurgaon is a well-planned project. Spread over 5 Acre, this project is impressive in its coverage. There are in total 175 units in this project.The Retreat has not been granted its commencement certificate. The status of the occupancy certificate of this project not granted. The exact address of this famous project is Ivory Towers, Central Avenue, South City I, Sector 41, Gurugram, Haryana. The pincode for this project is 122022. At The Retreat, a quality living is guaranteed by modern amenities and healthy surroundings.Top Amenities in The RetreatPower Back UpRecreational PoolKids Play AreaFlower GardensOutdoor Tennis CourtsDTH Television FacilityLaundry ServiceThe Retreat Floor PlanTo gain an overview of the house structure, it is best to study the floor plans as these will give you a clear picture of the layout. You can view different configurations across unit sizes of The Retreat on Magicbricks. All these configurations come with bathrooms and balconies. Magicbricks presents to you a range of layouts across different units of The Retreat.The Retreat AddressThe exact address for The Retreat which is in Gurgaon is Ivory Towers, Central Avenue, South City I, Sector 41, Gurugram, Haryana, 122022.",,"South City 1,Gurgaon",{}
4 BHK Apartment for Sale in Sector 69 Gurgaon,3.35 Cr,2010 sqft,https://www.magicbricks.com/tulip-violet-sector-69-gurgaon-pdpid-4d4235303137313639,1,15,2025-08-12 22:43:12.544054,Posted: Yesterday,2025-08-11 12:00:00.000000,False,standard,[],4,2.0,4 BHK,Furnished,13 out of 14,,Tulip Violet,Ready to Move,,,,Resale,,81.8,[],True,,"About Tulip VioletYou have arrived in life. You look forward to retreat to a life all your own. Amidst quietness, chirping birds, undulating lawns, high fences and secured gated housing. That is Tulip Violet Gurgaon. Contemporary, with leafy avenues, multi-storied apartments, this is going to be an enviable address. It would leave the indelible impression in many many hearts just like our previous projects Tulip Ace, Tulip Grand, Tulip Petals, Tulip Orange, Tulip White, Tulip Ivory and Tulip Purple. Yes, Tulip Violet Gurgaon is designed to be self-sufficient, scenic township, which will offer amenities that exhibit a modern lifestyle at par with international standards. The township offers something for everyone…Spice up your life…While Tulip Violet Gurgaon takes you away from the noise and congestion of the city, it is still close enough for you to avail the many benefits offered by it, Your home is only a short distance away from the happening places and road and rail connections. So that you and your family are never far away from life. Tulip Violet Gurgaon has redefined the concept of relaxed and stylish living. Read, Stare, discuss, listen, imagine, Relish your precious and private moments. Walk. Jog. Run. Sit. Stretch out your body. Savour delectable cuisine or throw a bash for friends and colleagues. Tickle your taste buds. Live life bigger than your imagination. Tulip Violet Gurgaon offers you the best infrastructure for all round development of your children and relishing a quality life. Children would get to grow up better, facilitating the complete growth of their mind, body and soul. Here, your loved ones would get a unique opportunity to live in a holistic and nature-friendly environments. While you get to spend quality time with them and really enjoy a better life.Tulip Violet PriceRs. 2. 27 Cr - 2. 61 CrProject TypeResidentialProperty TypesFlatTulip Violet StatusReady To MoveTulip Violet Launch Date01 July 2011Tulip Violet Possession Date01 June 2016Towers in Tulip Violet23Tulip Violet is a well-planned project that is ideally positioned in Sector 69, Gurgaon. Spread over 26 Acre, this project is impressive in its coverage. A total of 1350 are present in the project.The different types of units available are Flat, which have been designed to offer complete satisfaction. Tulip Violet has been granted its commencement certificate. granted is the status of the occupancy certificate of this project. Tulip Violet has been built by reputed real estate developer Tulip Infratech Pvt. Ltd. . The site's exact address is Tulip Violet Society, Sector 69, Gurugram, Haryana 122101. The pin code of this project is 122001. At Tulip Violet, you can enjoy a modern lifestyle as all conveniences are easily available.Top Amenities in Tulip VioletMultipurpose CourtsPower Back UpMeditation AreaKids Play AreaIndoor Games RoomAEROBICS ROOMOutdoor Tennis CourtsTulip Violet Floor PlanUnit ConfigurationUnit SizeTulip Violet 3 BHK Flat1450. 0 Sq. Ft. - 1650. 0 Sq. Ft.If you wish to understand the layout of the rooms and other spaces of the house, taking a look at the floor plans is the best way. The properties in Tulip Violet have 1 types of configurations and are available in 5 layouts. Bathrooms with contemporary fittings and balconies that allow for easy ventilation are part of the configurations. MagicBricks provides you with a view of the different types of layouts across the different units of Tulip Violet.Tulip Violet BrochureWish to know more about Tulip Violet? Download this comprehensive brochure to get the full details. You can easily find this brochure under the 'Download Brochure' link which is placed on the top right side of the page. To download the brochure of Tulip Violet you need to provide details of your name, number and email address.Tulip Violet AddressThe exact address for Tulip Violet which is in Gurgaon is Tulip Violet Society, Sector 69, Gurugram, Haryana 122101, 122001.",Tulip Infratech Pvt. Ltd.18YearsExperience,"Sector 69,Gurgaon",{}
4 BHK Apartment for Sale in Sector 90 Gurgaon,3.30 Cr,1800 sqft,https://www.magicbricks.com/dlf-regal-gardens-sector-90-gurgaon-pdpid-4d4235303238333839,1,16,2025-08-12 22:43:12.545638,Updated 17 hours ago,2025-08-12 05:43:12.544514,True,premium,"['text_premium', 'text_luxury']",3,,4 BHK,Semi-Furnished,7 out of 11,,DLF Regal Gardens,Ready to Move,North,,Freehold,Resale,,95.5,[],True,,"About DLF Regal GardensDLF Regal Gardens is designed to offer you the absolute comfort and convenience you seek. Majestically overlooking the edge of Gurugram's glorious skyline, the luxury homes here personify your identity.DLF Regal Gardens in Sector 90 , Gurgaon has apartments available at an affordable budget range between INR 89.0 Lac- 1.60 Cr..Located in the heart of DLF Garden City, Regal Gardens surrounds you with a vibrant community setting with world-class facilities and a superlative lifestyle.DLF Regal Gardens PriceRs. 1. 74 Cr - 2. 29 CrProject TypeResidentialProperty TypesFlatDLF Regal Gardens StatusReady To MoveDLF Regal Gardens Launch Date01 March 2012DLF Regal Gardens Possession Date01 December 2016Towers in DLF Regal Gardens8Situated in Sector 90, the DLF Regal Gardens is planned to offer a modern lifestyle to all the residents. The project is spread over a wide area of 11 Acre. A total of 562 are present in the project.Flat are the kind of units available in this project. The commencement certificate of DLF Regal Gardens has been granted. The occupancy certificate of this planned project granted. DLF Regal Gardens is smartly developed by the well-known builder DLF Ltd. . The site's complete address is Sector 90, Gurugram, Haryana. The pin code of this project is 122505. At DLF Regal Gardens, a quality living is guaranteed by modern amenities and healthy surroundings.Top Amenities in DLF Regal GardensLiftClub HouseBanquet HallMultipurpose HallFire Fighting EquipmentIndoor Games RoomCCTV CameraDLF Regal Gardens Floor PlanUnit ConfigurationUnit SizeDLF Regal Gardens 3 BHK Flat1693. 0 Sq. Ft. - 1818. 0 Sq. Ft.To get an idea of the space covered, layout and room sizes, browsing through the floor plan would help. The units in DLF Regal Gardens come in a choice of 3 types of floor plans as per the 1 configurations. Bathrooms and balconies are a part of these configurations. Magicbricks enumerates different configurations of DLF Regal Gardens across a range of unit sizes.DLF Regal Gardens BrochureTo get detailed and comprehensive information about $project name you can download the brochure PDF. You will find the brochure under the link 'Download Brochure', placed at the top right end of the page. You can have access to the brochure of DLF Regal Gardens by providing details such as your name, email address and contact details.DLF Regal Gardens AddressSector 90, Gurugram, Haryana, 122505, is the complete address of DLF Regal Gardens","DLF Ltd.75YearsExperienceDLF Gateway Tower, R Block,DLF City Phase - III,Gurugram - 122002, Haryana","Sector 90,Gurgaon",{}
3 BHK Apartment for Sale in Sector 112 Gurgaon,3.80 Cr,2520 sqft,https://www.magicbricks.com/tata-gurgaon-gateway-sector-112-gurgaon-pdpid-4d4235303239353935,1,17,2025-08-12 22:43:12.547289,Updated 17 hours ago,2025-08-12 05:43:12.546091,True,premium,"['text_premium', 'text_luxury']",3,3.0,3 BHK,Semi-Furnished,13 out of 23,,Tata Gurgaon Gateway,Ready to Move,,,,Resale,Main Road,95.5,[],True,,"About Tata Gurgaon GatewayTata Gurgaon Gateway located in Sector 112 , Gurgaon has amazing luxury flats available from Rs. 2.21 Cr - 5.59 Cr.Gurgaon Gateway sets a new benchmark for luxurious living and modern architecture, right from the plush double-heighted lobbies to the timber sun decks and private terraces that grace the apartments. A unique lifestyle awaits the patrons of this enclave, with sprawling balconies that overlook the lush greenery and landscapes. These balconies are seamless extensions of the living and dining areas. This means that residents can experience the outdoors from the comfort of their home. Every aspect of this expansive development has been designed with attention to the finest of details. For instance, the 3 bed residences have been innovatively designed to enable three open sides in the apartment to increase cross ventilation. So go ahead- live a life of grandeur, the one you were always meant to live.Tata Gurgaon Gateway StatusReady To MoveTowers in Tata Gurgaon Gateway6The magnificent Tata Gurgaon Gateway that is smartly located in Sector 112, Gurgaon is a well-planned project. It covers an area of 9 Acre that is well-maintained. The project features a total of 358 units that are well-ventilated.The beautiful Tata Gurgaon Gateway's commencement certificate has been granted. granted is the status of the occupancy certificate of this project. Tata Gurgaon Gateway has been built by reputed real estate developer TATA Housing Development Company Ltd. . You can reach out to this project at Sector 112, Bajghera Road, Near Dwarka Expressway, Gurugram: 122017. The pin code of this masterpiece project is 122017. At Tata Gurgaon Gateway, you can enjoy a modern lifestyle as all conveniences are easily available.Top Amenities in Tata Gurgaon GatewayPower Back UpCafeteria/Food CourtJogging and Strolling TrackOutdoor Tennis CourtsAEROBICS ROOMEvent Space & AmphitheatreKids Play AreaTata Gurgaon Gateway BrochureDownload the PDF brochure of Tata Gurgaon Gateway and get the complete details of this beautifully constructed project. The brochure can be viewed at the top right side of the page under the link 'Download Brochure'. The brochure of Tata Gurgaon Gateway can easily be downloaded by providing your name, contact number and email address.Tata Gurgaon Gateway AddressSector 112, Bajghera Road, Near Dwarka Expressway, Gurugram: 122017, 122017, is the complete address of Tata Gurgaon Gateway",TATA Housing Development Company Ltd.41YearsExperience,"Sector 112,Gurgaon",{}
3 BHK Apartment for Sale in Sector 84 Gurgaon,1.95 Cr,14009 sqft,https://www.magicbricks.com/ss-almeria-sector-84-gurgaon-pdpid-4d4235303137373033,1,18,2025-08-12 22:43:12.548876,Updated 17 hours ago,2025-08-12 05:43:12.547817,True,premium,"['text_premium', 'text_luxury']",3,2.0,3 BHK,Furnished,2 out of 3,,SS Almeria,Ready to Move,Key HighlightsCombination of Italian marble and wooden FlooringNext to employment Hub Commercial Sector 88.Just 500 mtr from Dwarka Expressway.,,,Resale,,95.5,[],True,,"About SS AlmeriaAlmeria, a sterling capital of luxurious living in New Gurgaon, is set amidst 7.5 acres of beautifully landscaped expanseAt SS Almeria, experience the grandeur of inspired accommodation nestled in the gentle embrace of nature. Sense the delight of owning a sprawling home that stretches across the entire floor. Discover a range of world class amenities in the secured gated vicinity located in the heart of New Gurgaon.Almeria brings to you the finest facilities in the comfort of a seamlessly connected environment. A beautiful home is incomplete without the luxury of facilities and services that meet your most basic needs, with promptness and efficiency.Almeria brings to you an absolute world of comfort and luxury with its impeccable bouquet of services and facilities, designed to keep you feeling alleviated once you are home.Round the clock facilities include 24x7 power back up and water availability, so that life as you know it, is never interrupted by mundane inconveniences.The security detail at Almeria has been designed to keep you feeling safe at all hours of the day. The security features are inclusive of 24 hour security by qualified security personnel, round the clock CCTV surveillance, boom barriers and an intercom system connecting the guardroom with every home, keeping your world secure.The presence of state-of-the-art retail and commercial centres in the vicinity make Almeria a hub of leisure and luxury.SS Almeria StatusReady To MoveSS Almeria Launch Date01 February 2015SS Almeria Possession Date01 August 2020Towers in SS Almeria12Favourably located in Sector 84 in Gurgaon, SS Almeria is a meticulously planned project. The project is spread over a wide area of 15 Acre. There are in total 699 units in this project.The grand SS Almeria project's commencement certificate has been granted. The occupancy certificate of this planned project not granted. SS Almeria is a high-quality yet affordable residential project by SS Group. Sector 84, Gurugram, Haryana 122004 is the full address of the site. The project's pin code is 122004. Relish the benefits of living in SS Almeria, which offers all modern comforts.Top Amenities in SS AlmeriaPower Back UpFire Fighting EquipmentMultipurpose CourtsKids ClubIndoor Games RoomOutdoor Tennis CourtsMaintenance StaffSS Almeria BrochureCurious to know more about this state-of-the-art SS Almeria project? Download this detailed PDF to know more. This brochure can be easily accessed from the top right end of the page, where you will see the link of 'Download Brochure'. Just enter the details like name, email address and contact details and you can download the brochure of SS Almeria.SS Almeria AddressSS Almeria is situated in the prime city of Gurgaon. The full address is Sector 84, Gurugram, Haryana 122004, 122004.","SS Group33YearsExperience77, SS House,Sector- 44, Gurugram,(Haryana)- 122003","Sector 84,Gurgaon",{}
4 BHK Apartment for Sale in Sector 106 Gurgaon,5.70 Cr,1692 sqft,https://www.magicbricks.com/elan-the-presidential-sector-106-gurgaon-pdpid-4d4235333737333031,1,19,2025-08-12 22:43:12.550542,Updated 18 hours ago,2025-08-12 04:43:12.549350,True,premium,['text_premium'],5,3.0,4 BHK,Semi-Furnished,22 out of 32,,Elan The Presidential,,East,2 Covered,Freehold,Resale,"Garden/Park, Pool, Main Road",104.5,[],True,,"About Elan The PresidentialElan The Presidential is a 7 star development rising in Sector 106 of Mini Singapore, aka Dwarka Expressway Gurgaon. With a vision to develop the best-in-class futuristic homes, the absolute best specialized designing, and architectural elements have been utilized to guarantee that each residence is assembled and conveyed flawlessly and holds fast to the best expectations of value and effectiveness, making Elan Presidential Gurgaon a prominent landmark for the insightful property holder.Elan's 1st Super Luxury Project THE PRESIDENTIAL in Sector 106, Dwarka Expressway, GurgaonAn architectural marvel rising on Dwarka ExpresswaySuper Luxury Features, Nation is yet to witnessThe Most awaited project of 20221st ever residential project by ELANSpread in 40 Acres, 60% Open GreensBook Now! Avail Early Bird DiscountStrategically located on Next Growth Corridor.HIGHLIGHTSSpread in 40 Acres, 60% Open GreensEvery Apartment faces central greensContemporary and opulent designAir-conditioned Triple height lobbySeemless connectivity from delhiA short drive from IGI AirportPodium-Level Clubhouse3-level basement parkingSALIENT FEATURESLuxury Residences with all necessary inclusionPodium-Level Clubhouse with All AmenitiesModular Kitchen with sealed pipingHorse Riding & Shooting rangeVRV/VRF ACs in bedrooms, living & dining areaFloating sauna and picturesque poolImported Marble and anti-skid Flooring15 Minutes from the Delhi AirportAMENITIES8"" Wide Deck/Balcony5 Tier SecurityLuxury Club HouseOlympic Sized Swimming PoolLandscaped Central GreensProfessional GymJogging/Walking TrackHome AutomationMulti Cuisine RestaurantConcierge/ Help DeskDedicated Kids ZoneTennis & Badminton CourtElan The Presidential PriceRs. 4. 50 Cr - 6. 10 CrProject TypeResidentialProperty TypesFlatElan The Presidential StatusUnder ConstructionElan The Presidential Launch Date01 November 2022Elan The Presidential Possession Date01 October 2027Towers in Elan The Presidential10Elan The Presidential is a well-planned project that is ideally positioned in Sector 106, Gurgaon. It covers an area of 13 Acre that is well-maintained. There are in total 880 units in this project.The units offered are Flat, which have been developed to provide complete satisfaction. The beautiful Elan The Presidential's commencement certificate has been granted. The occupancy certificate of this planned project not granted. Known for their quality constructions Elan Buildcon Pvt. Ltd. has developed Elan The Presidential project. The site's complete address is Sector-106, Gurgaon. Its pincode is 122006. Enjoy the comforts of living in Elan The Presidential with all modern conveniences at your disposal.Top Amenities in Elan The PresidentialMini Cinema TheatreLiftCafeteria/Food CourtPower Back UpOutdoor Tennis CourtsSecurityGymnasiumElan The Presidential Floor PlanUnit ConfigurationUnit SizeElan The Presidential 3 BHK Flat2450. 0 Sq. Ft. - 2700. 0 Sq. Ft.Elan The Presidential 4 BHK Flat3074. 0 Sq. Ft. - 3395. 0 Sq. Ft.To know more about the layout, it is best to study the floor plan. The floor plan provides a bird's eye view of the house structure. There are 2 configurations in 5 different types of layouts across the different properties in Elan The Presidential. Bathrooms with contemporary fittings and balconies that allow for easy ventilation are part of the configurations. Magicbricks enumerates different configurations of Elan The Presidential across a range of unit sizes.Elan The Presidential BrochureWant to learn more about the well-planned Elan The Presidential project? Download their detailed PDF brochure. You will find the download provision at the top right end of the page under 'Download Brochure' link. The brochure of Elan The Presidential can be viewed by giving your contact details of name, email and phone or mobile number.Elan The Presidential AddressThe postal address of Elan The Presidential in Gurgaon is ""Sector-106, Gurgaon, 122006"".",Elan Buildcon Pvt. Ltd.12YearsExperience,"Sector 106,Gurgaon",{}
5 BHK Penthouse for Sale in Sohna Road Gurgaon,6 Cr,3101 sqft,,1,20,2025-08-12 22:43:12.553522,Updated 17 hours ago,2025-08-12 05:43:12.552553,True,premium,['text_premium'],5,7.0,5 BHK,Semi-Furnished,10 out of 11,,,Ready to Move,,,,Resale,Garden/Park,86.4,['Missing property URL'],False,,,,,
"4 BHK Apartment for Sale in Fazilpur Jharsa, Sector 72, Sohna Road Gurgaon",6 Cr,2080 sqft,https://www.magicbricks.com/tata-primanti-fazilpur-jharsa-gurgaon-pdpid-4d4235303030313431,1,21,2025-08-12 22:43:12.555501,Updated 17 hours ago,2025-08-12 05:43:12.554044,True,premium,"['text_premium', 'text_luxury']",4,4.0,4 BHK,Semi-Furnished,19 out of 38,,Tata Primanti,Ready to Move,North - East,2 Covered,Freehold,Resale,Garden/Park,109.1,[],True,,"About Tata PrimantiOverviewTata Primanti at Sector 72 , Gurgaon, offers amazing luxury flats options ranging between Rs. 4.37 Cr - 14.57 Cr.Ideally positioned on the Southern Peripheral Road in Sector 72, Gurgaon, Tata Primati, offers 41 luxuriously designed towers surrounded by tree-lined boulevards with $unit units occupying space in them. Splendidly designed 3BHK and 4BHK units are provided in the price range varying between Rs. 4.37 Cr - 14.57 Cr. This residential development is spread across 36 acres and besides these apartments, it also offers penthouses, executive apartments executive floors.About the ProjectEnsconced in the lap of verdant greens where private gardens, terraces and courtyards form an integral part of this superbly developed project. This project offers residences segregated into executive floor, executive apartments and tower residences. The executive floors are duplexes featuring 4 bedrooms along with landscaped gardens or open terrace. Executive residential apartments are housed in mid-rise buildings with one apartment on each floor and are available in the configuration of 4BHK.These apartments are open on three sides. There is an option to opt for penthouse units available on two levels as well. Tower Residences offer lavishly appointed residential apartments in the configuration of 3BHK and 4BHK units. 30 and 40 storey high rise towers house these residences offering magnificent views of the city skyline. 3BHK residential apartments as part of Tower Residences are sized at 2185sq.ft. while 4BHK apartments cover an area that ranges between 2625sq.ft. and 2902sq.ft. The executive apartments and executive floors are available in the area size that ranges between 3250sq.ft. and 4500sq.ft.HighpointsHigh-end luxurious amenities constitute the USP of this project, as one can enjoy various recreational and sporting facilities at state-of-the-art clubhouse and sporting zone featuring swimming pool, gym, entertainment room, sauna and steam, aqua gym, squash and badminton courts. Proximity to NH8 further provides easy access to business centers, airport and shopping malls.Tata Primanti PriceRs. 4. 37 Cr - 14. 57 CrProject TypeResidentialProperty TypesFlat, VillaTata Primanti StatusReady To MoveTata Primanti Launch Date01 June 2011Tata Primanti Possession Date01 January 2016Towers in Tata Primanti41Tata Primanti is a well-planned project that is ideally positioned in Sector 72, Gurgaon. It is spread over a sprawling area of 36 Acre. There are total 1105 units in the project that are designed keeping the modern lifestyle in mind.Flat, Villa are the kind of units available in this project. The commencement certificate of Tata Primanti has been granted. The occupancy certificate of this modern project granted. Tata Primanti has been developed by the well-known builder TATA Housing Development Company Ltd. . Planning to invest in this exclusive property? You can visit the property at Southern Peripheral Rd, Phase 2, Tatvam Villas, Dhani, Sector 72, Gurugram. This project comes under the pincode of 122004. Tata Primanti lets you enjoy a convenient lifestyle with all contemporary conveniences at your disposal.Top Amenities in Tata PrimantiPrivate jaccuziDTH Television FacilityBar/LoungePiped GasJogging and Strolling TrackOutdoor Tennis CourtsPower Back UpTata Primanti Floor PlanUnit ConfigurationUnit SizeTata Primanti 3 BHK Flat2185. 0 Sq. Ft. - 2185. 0 Sq. Ft.Tata Primanti 4 BHK Villa3250. 0 Sq. Ft. - 8500. 0 Sq. Ft.Tata Primanti 4 BHK Flat2625. 0 Sq. Ft. - 2905. 0 Sq. Ft.Floor plans give you an insight into the way the rooms and other spaces are laid out in the unit, allowing you to get an accurate understanding of the house layout. The properties in Tata Primanti are available in 3 configurations and 8 varied layouts (or floor plans), The configurations include well-equipped bathrooms and balconies that allow for easy ventilation. You can view the different types of configurations of Tata Primanti on Magicbricks.Tata Primanti BrochureIf Tata Primanti appeals to you, learn more about this well-designed project by downloading their PDF brochure. To download, navigate to the top right end of the page and hit the 'Download Brochure' link. You can have access to the brochure of Tata Primanti by providing details such as your name, email address and contact details.Tata Primanti AddressThe postal address of Tata Primanti in Gurgaon is ""Southern Peripheral Rd, Phase 2, Tatvam Villas, Dhani, Sector 72, Gurugram, 122004"".",TATA Housing Development Company Ltd.41YearsExperience,"Sector 72,Gurgaon",{}
"4 BHK Builder Floor for Sale in Malibu Town, Sector 47 Gurgaon",6.50 Cr,3600 sqft,https://www.magicbricks.com/modern-luxurious-floors-at-malibu-town-malibu-town-gurgaon-pdpid-4d4235343232393333,1,22,2025-08-12 22:43:12.557224,Updated 17 hours ago,2025-08-12 05:43:12.556022,True,premium,['text_premium'],5,3.0,4 BHK,Furnished,Modern Luxurious Floors at Malibu Town,,Modern Luxurious Floors at Malibu Town,Ready to Move,North - West,"3 Covered,",Freehold,Resale,"Garden/Park, Main Road, Pool",109.1,[],True,,"About Modern Luxurious Floors at Malibu TownProject TypeResidentialProperty TypesBuilder FloorModern Luxurious Floors at Malibu Town StatusReady To MoveModern Luxurious Floors at Malibu Town Possession Date01 July 2024Modern Luxurious Floors at Malibu Town is conveniently situated in the Malibu Town, Sector 47, Gurgaon and is a project that is well planned. Builder Floor are the various types of units available, each of which has been created to provide total satisfaction. Modern Luxurious Floors at Malibu Town is a high-quality yet affordable residential project by Capital Propmart Infra. The project is located at one of the most sought after pin codes that is 122018. Modern Luxurious Floors at Malibu Town spells convenience and comfort at a competitive price.Modern Luxurious Floors at Malibu Town Floor PlanUnit ConfigurationUnit SizeModern Luxurious Floors at Malibu Town 4 BHK Builder Floor3240. 0 Sq. Ft. - 3240. 0 Sq. Ft.To gain an overview of the house structure, it is best to study the floor plans as these will give you a clear picture of the layout. The properties in Modern Luxurious Floors at Malibu Town have 1 types of configurations and are available in 1 layouts. Bathrooms and balconies are a part of these configurations. The different types of unit sizes of Modern Luxurious Floors at Malibu Town can be viewed on MagicBricks.",Capital Propmart Infra,"Malibu Town,Gurgaon",{}
